Answer.d1,Answer.d10,Answer.d2,Answer.d3,Answer.d4,Answer.d5,Answer.d6,Answer.d7,Answer.d8,Answer.d9
yes,no,yes,yes,yes,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,yes,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,no,yes,yes,yes,yes
yes,no,yes,yes,no,no,yes,no,yes,yes
yes,no,yes,yes,yes,no,yes,no,no,no
yes,no,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,no,yes,yes,no,no,no,no,yes
yes,no,no,yes,yes,no,no,yes,no,yes
yes,no,no,yes,yes,yes,no,no,yes,yes
no,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,no,yes,yes,no,no,no,no
yes,no,yes,no,no,no,yes,no,no,no
,yes,yes,no,no,no,no,no,no,no
yes,yes,no,no,no,yes,yes,no,no,yes
yes,yes,yes,yes,yes,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,,yes,yes,no,no,yes,yes,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,no,yes,no,yes,no,no
yes,no,no,no,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,no,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,yes,yes,yes,yes,yes,yes,no,yes
yes,no,yes,yes,yes,yes,yes,yes,no,yes
yes,yes,yes,no,yes,no,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,no,yes,yes,yes,yes,no,yes
no,yes,no,yes,yes,yes,yes,no,yes,no
yes,yes,yes,no,no,no,yes,yes,no,no
yes,yes,yes,yes,no,no,yes,yes,no,no
yes,yes,yes,yes,yes,yes,yes,yes,no,no
,yes,yes,yes,yes,yes,yes,yes,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,no,yes,no,no,no,no,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,no,no,no,no,yes,no
yes,no,no,no,no,no,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,no,no,no,no,yes,no,yes,yes
yes,yes,yes,yes,no,yes,yes,yes,yes,yes
yes,no,yes,yes,yes,yes,no,yes,no,yes
yes,no,yes,yes,yes,yes,no,no,no,yes
yes,no,yes,yes,yes,no,yes,yes,yes,yes
yes,no,no,yes,yes,no,yes,yes,yes,yes
yes,no,no,yes,yes,no,yes,yes,yes,yes
no,yes,yes,yes,no,yes,yes,yes,yes,no
no,yes,no,yes,,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,yes,yes,no,no,no,no
yes,no,no,yes,no,yes,no,no,no,no
yes,yes,no,yes,no,yes,no,no,yes,no
yes,no,yes,yes,yes,no,yes,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,no,no,yes,yes,yes,no
yes,yes,yes,no,yes,yes,no,yes,no,yes
yes,yes,yes,no,yes,no,yes,yes,no,yes
yes,yes,yes,no,yes,yes,yes,yes,no,yes
yes,yes,yes,no,yes,no,yes,no,yes,yes
yes,yes,yes,no,yes,no,yes,no,yes,no
yes,yes,yes,yes,no,no,yes,no,yes,yes
yes,yes,yes,no,no,yes,yes,no,yes,yes
yes,yes,no,no,no,yes,yes,no,yes,yes
no,yes,yes,no,no,yes,yes,yes,yes,yes
yes,no,yes,yes,no,no,no,no,no,no
yes,no,yes,yes,no,yes,no,yes,no,no
yes,no,no,yes,yes,no,no,no,yes,yes
no,yes,yes,no,no,yes,no,no,no,no
no,no,no,no,no,yes,yes,no,no,yes
no,yes,yes,yes,no,yes,yes,no,yes,yes
yes,no,yes,yes,no,no,yes,yes,yes,no
yes,no,yes,yes,no,no,yes,yes,yes,yes
yes,no,yes,yes,no,no,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,no,yes,yes,yes
yes,yes,yes,yes,yes,yes,no,yes,yes,yes
no,no,yes,no,no,no,no,yes,no,no
no,no,yes,no,,no,no,yes,no,no
no,no,yes,no,no,no,no,yes,no,yes
yes,no,yes,yes,yes,yes,no,yes,no,yes
yes,no,no,yes,yes,no,no,yes,no,yes
yes,no,no,yes,yes,yes,no,yes,yes,yes
yes,yes,no,no,no,no,no,no,yes,yes
yes,yes,no,yes,no,yes,no,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,yes,yes,no,no,no,yes,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,yes,yes,no,no,no,yes,yes,yes
yes,no,yes,yes,no,no,no,yes,yes,no
yes,no,yes,no,no,no,no,yes,yes,yes
yes,yes,yes,yes,no,no,yes,yes,yes,yes
yes,yes,no,yes,no,no,yes,no,no,yes
yes,yes,yes,yes,yes,no,yes,yes,yes,yes
yes,no,yes,no,yes,no,yes,yes,yes,yes
yes,yes,yes,no,yes,no,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,no,yes,yes,yes,yes
no,yes,yes,yes,no,no,yes,yes,yes,yes
no,no,yes,yes,no,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,no,yes,yes,yes
yes,no,no,yes,yes,yes,no,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,yes,yes,yes,no,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,yes,no,yes,no,no,no,yes,yes
yes,yes,yes,no,no,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,no,yes,no,yes,no
yes,yes,yes,yes,yes,yes,yes,no,yes,no
yes,yes,yes,yes,yes,yes,yes,no,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,no,yes,yes,yes
no,no,yes,yes,yes,yes,no,yes,yes,no
yes,yes,yes,yes,yes,yes,,yes,yes,yes
yes,no,yes,no,yes,yes,yes,yes,yes,yes
yes,no,yes,no,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,yes,yes,no,yes,yes,yes
no,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,no,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,no,yes,no,yes,yes,no,yes,no
yes,no,yes,yes,no,yes,yes,yes,yes,no
no,yes,yes,no,no,yes,yes,yes,yes,yes
yes,yes,yes,no,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,yes,yes,yes,no,yes,yes,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,yes,yes,no,no,yes,yes,no,yes
yes,yes,yes,yes,no,no,yes,yes,yes,no
yes,yes,yes,no,no,no,yes,yes,yes,no
yes,yes,yes,no,no,no,yes,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,no,yes,no,no,yes,no,yes,no
no,yes,no,yes,yes,no,yes,no,yes,no
no,yes,no,no,no,yes,yes,no,no,yes
no,no,no,no,no,yes,yes,no,no,yes
no,yes,no,no,no,yes,yes,no,no,yes
no,yes,yes,yes,no,yes,yes,no,yes,yes
no,yes,yes,yes,no,yes,no,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,no,yes,no,yes,yes,no,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,no,yes,yes,no,yes,no
yes,no,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,yes,yes,yes,yes,no,yes,yes,yes
yes,no,yes,yes,yes,no,yes,no,no,yes
no,yes,yes,no,no,no,yes,yes,yes,no
no,yes,yes,no,no,no,yes,no,no,no
no,yes,yes,yes,no,no,yes,yes,yes,no
yes,no,no,yes,yes,no,no,yes,yes,yes
yes,no,no,yes,yes,no,no,yes,yes,no
yes,no,no,yes,yes,no,yes,yes,yes,no
no,no,no,no,no,yes,no,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,no,no,no,no,no,yes,yes,no
yes,no,no,yes,no,yes,yes,no,yes,yes
yes,no,no,yes,no,yes,yes,no,yes,yes
yes,no,no,yes,no,yes,no,no,yes,yes
yes,no,no,yes,no,yes,yes,yes,yes,yes
yes,no,no,yes,yes,yes,yes,yes,yes,no
yes,no,no,yes,yes,yes,yes,yes,yes,no
yes,yes,yes,yes,no,no,yes,yes,yes,no
yes,yes,yes,no,no,no,no,yes,yes,no
yes,yes,yes,no,no,no,no,no,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,no,yes,no,no,no,yes,no
yes,yes,yes,no,no,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,yes,no,no,no,yes,yes
yes,yes,yes,yes,no,no,yes,yes,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,yes,no,no,no,yes,no,yes,no
yes,no,yes,no,no,no,yes,no,yes,no
no,no,yes,yes,yes,yes,yes,yes,yes,no
yes,no,yes,yes,yes,no,no,yes,yes,yes
no,no,no,yes,yes,no,yes,yes,yes,yes
yes,no,yes,yes,yes,no,yes,no,no,yes
yes,no,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,no,yes,yes,yes,yes,yes,no,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,yes,yes,no,no,no,yes,yes,yes
no,no,yes,yes,no,no,yes,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,no,yes,no,yes
yes,yes,no,yes,yes,yes,no,yes,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,yes,yes,yes,yes,no,yes,yes,yes
no,no,yes,yes,no,yes,yes,no,no,yes
no,no,no,yes,yes,no,yes,no,no,yes
no,no,yes,yes,no,no,yes,yes,no,yes
yes,yes,yes,no,no,no,no,no,yes,no
yes,yes,yes,yes,no,yes,no,yes,yes,no
yes,yes,yes,yes,no,no,no,no,yes,no
yes,yes,no,no,yes,yes,yes,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,no,no,yes,yes,yes,no
yes,yes,yes,no,no,yes,yes,yes,yes,yes
no,no,yes,no,yes,yes,yes,yes,yes,yes
no,yes,yes,yes,no,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,yes,yes,no,yes,yes,yes,,no
no,yes,yes,no,yes,yes,yes,yes,no,no
yes,yes,no,yes,no,yes,,yes,yes,yes
yes,yes,no,yes,no,yes,no,yes,yes,yes
no,yes,no,yes,no,yes,no,yes,yes,yes
no,yes,no,yes,yes,no,yes,yes,yes,yes
no,yes,no,yes,yes,no,yes,yes,yes,yes
no,yes,no,yes,yes,no,yes,yes,yes,yes
no,yes,yes,no,no,yes,yes,yes,no,yes
no,yes,yes,,no,yes,yes,yes,yes,yes
no,yes,yes,no,no,yes,yes,no,no,no
no,no,no,yes,no,no,yes,yes,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,yes,yes,yes,no,yes,yes,no,yes
yes,yes,no,yes,yes,yes,yes,no,,no
yes,yes,no,no,no,no,yes,no,no,yes
yes,yes,no,yes,yes,no,yes,yes,no,yes
no,yes,no,yes,no,no,yes,yes,yes,no
no,yes,no,yes,no,no,yes,yes,yes,no
yes,yes,no,yes,no,no,yes,yes,yes,no
yes,yes,yes,yes,yes,yes,no,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,no,yes,yes,no,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,no,yes,no,yes,yes,yes
yes,yes,yes,yes,no,yes,no,yes,yes,no
no,no,yes,no,yes,yes,yes,yes,no,no
no,no,yes,yes,yes,yes,yes,yes,yes,yes
no,no,yes,no,yes,yes,yes,yes,no,yes
no,no,no,yes,yes,yes,yes,no,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,no,yes,yes,yes,yes,no,no,no
yes,yes,yes,yes,yes,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,no,no,yes,yes
no,yes,yes,yes,yes,yes,no,no,yes,no
yes,yes,no,no,yes,yes,yes,yes,yes,no
yes,yes,yes,no,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,no,no,yes,no,yes,no,no,yes
no,yes,no,no,yes,no,no,no,no,yes
yes,yes,no,no,yes,no,yes,yes,no,yes
no,yes,yes,,no,yes,yes,no,yes,yes
no,yes,no,yes,yes,yes,yes,no,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,no,yes,yes,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,no
yes,yes,yes,yes,yes,yes,no,yes,no,yes
yes,no,yes,yes,yes,yes,no,yes,no,yes
yes,yes,no,yes,yes,no,no,yes,no,no
yes,yes,no,no,yes,yes,no,yes,yes,no
yes,yes,no,no,yes,no,no,no,yes,no
yes,yes,no,no,yes,no,no,no,yes,no
no,yes,no,yes,yes,yes,yes,yes,yes,no
no,yes,no,yes,yes,yes,yes,yes,no,no
no,yes,yes,yes,yes,yes,yes,yes,no,no
yes,yes,no,no,yes,yes,yes,no,yes,no
yes,yes,yes,yes,yes,yes,yes,no,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,yes,yes,no,yes,no,yes,yes,yes
no,yes,yes,yes,yes,yes,no,yes,yes,yes
no,yes,yes,yes,no,yes,yes,yes,yes,yes
no,yes,yes,yes,no,no,no,yes,yes,yes
yes,yes,no,yes,yes,yes,no,yes,yes,yes
yes,yes,no,yes,no,yes,no,yes,yes,yes
yes,yes,yes,no,no,yes,no,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,no,no,yes,no,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,yes,yes,no,no,yes,no,no,no
yes,no,yes,yes,yes,yes,,yes,no,no
yes,no,yes,yes,no,no,yes,yes,,no
yes,no,yes,yes,yes,no,yes,yes,,yes
yes,no,yes,yes,no,no,yes,yes,yes,yes
yes,no,no,no,yes,yes,yes,yes,no,yes
yes,no,no,no,yes,yes,no,yes,no,yes
yes,no,no,no,yes,yes,yes,yes,no,yes
no,yes,yes,yes,yes,yes,yes,no,yes,yes
yes,yes,yes,no,yes,no,yes,no,yes,yes
yes,yes,yes,no,yes,no,yes,no,yes,yes
no,yes,yes,yes,no,yes,no,yes,yes,yes
no,yes,yes,yes,no,yes,no,no,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,no,yes,yes,yes,no,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,no,yes,no,yes
yes,yes,yes,yes,yes,yes,no,yes,yes,yes
yes,no,no,yes,yes,yes,no,yes,yes,yes
yes,yes,no,yes,yes,yes,no,no,yes,yes
no,yes,yes,yes,yes,yes,no,yes,yes,no
no,yes,no,yes,yes,yes,no,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,no,no,yes,yes,yes,yes,no,yes
no,yes,no,no,yes,yes,yes,yes,no,yes
no,yes,no,no,yes,yes,yes,yes,no,yes
yes,no,no,yes,no,yes,no,yes,no,yes
yes,no,no,yes,no,yes,yes,yes,yes,no
yes,no,no,yes,no,yes,no,no,yes,no
yes,yes,yes,yes,no,no,no,yes,no,yes
yes,yes,yes,yes,no,no,yes,yes,no,yes
yes,yes,yes,yes,no,no,yes,yes,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,yes,yes,yes,no,no,yes,yes,yes
yes,yes,yes,yes,yes,no,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,no,yes,yes,no,no,yes,yes,no
no,no,no,no,yes,yes,yes,yes,yes,no
no,yes,no,no,no,yes,yes,no,yes,yes
no,no,yes,no,yes,no,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,no,no,yes,yes,yes,yes,no,yes
no,no,no,yes,yes,yes,yes,yes,yes,yes
yes,no,yes,no,yes,yes,yes,yes,yes,yes
yes,no,yes,no,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,no,no,no,no,no,yes,yes
yes,yes,no,yes,yes,no,no,yes,yes,yes
yes,yes,no,yes,yes,no,no,no,yes,yes
no,no,yes,yes,no,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,yes,yes,no,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,no,no,no,no,no,yes,yes,yes
no,yes,no,yes,no,no,yes,yes,yes,yes
yes,yes,yes,yes,no,yes,no,yes,yes,no
no,yes,no,yes,yes,no,yes,no,no,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,yes,yes,yes,no,yes,yes
yes,yes,yes,yes,no,yes,yes,yes,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,no,yes,yes,yes,yes,yes,no
yes,yes,yes,no,yes,yes,yes,yes,yes,no
no,yes,no,no,yes,yes,yes,yes,yes,
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,no,no,no,yes,yes,yes,yes,yes
yes,no,no,no,yes,yes,yes,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,no,no,yes,yes,yes,yes,yes,no
no,yes,no,yes,no,yes,no,no,yes,no
no,yes,yes,yes,no,yes,yes,no,yes,yes
no,yes,no,no,no,yes,no,no,yes,yes
yes,no,no,yes,yes,yes,yes,no,yes,yes
yes,yes,no,yes,yes,yes,yes,no,yes,yes
yes,no,no,yes,yes,yes,yes,no,yes,yes
yes,yes,no,yes,no,yes,no,yes,yes,yes
yes,yes,no,no,no,yes,no,yes,yes,yes
yes,yes,no,yes,no,yes,no,yes,yes,yes
yes,yes,yes,yes,yes,no,yes,yes,no,yes
yes,yes,yes,yes,yes,yes,yes,yes,no,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,yes,yes,yes,no,yes,yes,no,yes
yes,yes,yes,no,yes,yes,yes,yes,no,yes
no,yes,yes,yes,yes,no,yes,yes,no,yes
yes,yes,yes,yes,yes,yes,yes,no,no,yes
no,yes,yes,yes,yes,yes,no,no,no,yes
no,yes,yes,yes,yes,yes,no,no,no,yes
no,yes,yes,yes,yes,yes,no,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,no,yes,yes
yes,no,yes,no,yes,no,yes,no,yes,yes
yes,yes,yes,no,yes,no,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,no,no,yes,no,yes,yes,no,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,no,no,yes,yes,yes,no,yes,no,yes
yes,yes,no,no,no,no,no,no,no,no
yes,yes,yes,no,no,no,yes,no,yes,no
yes,yes,no,no,no,no,yes,no,no,no
yes,no,yes,yes,yes,no,yes,no,yes,yes
yes,yes,no,yes,yes,yes,yes,yes,no,yes
yes,yes,yes,yes,yes,yes,no,yes,no,no
no,yes,yes,yes,yes,yes,yes,yes,no,no
no,yes,yes,no,yes,yes,yes,yes,no,yes
no,yes,yes,yes,yes,yes,yes,yes,no,no
yes,yes,no,yes,yes,yes,yes,no,no,yes
yes,yes,no,yes,yes,yes,no,no,no,yes
yes,yes,no,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,,yes,no,yes,yes,yes,no,yes,yes
yes,no,yes,no,yes,yes,yes,no,yes,yes
no,yes,no,yes,yes,yes,no,yes,no,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,no,yes,yes,yes,yes,yes,no,yes
yes,yes,no,yes,yes,yes,no,yes,no,yes
yes,yes,no,yes,yes,yes,no,yes,no,yes
yes,yes,yes,yes,yes,no,yes,yes,yes,yes
no,yes,yes,no,yes,yes,yes,yes,yes,yes
no,yes,yes,no,yes,yes,no,no,yes,yes
yes,yes,yes,no,yes,yes,no,no,yes,yes
no,yes,yes,yes,no,yes,yes,yes,yes,yes
no,yes,yes,yes,no,yes,yes,yes,yes,yes
no,yes,yes,yes,yes,yes,no,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,no,yes,no,yes,no,yes
yes,yes,yes,yes,yes,no,yes,yes,no,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,no,yes,yes,yes
yes,no,no,yes,yes,no,no,yes,no,yes
yes,no,no,yes,yes,no,no,yes,yes,yes
yes,yes,yes,yes,yes,no,no,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,yes,no,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,yes,yes,yes,no,yes,yes,no,yes
no,yes,no,,yes,yes,no,yes,yes,yes
yes,yes,yes,no,no,yes,yes,yes,no,no
yes,yes,yes,no,no,yes,no,yes,no,no
yes,no,yes,no,no,no,no,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,no,no,yes,no,yes,,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,no,yes,no,no
yes,yes,yes,yes,yes,yes,no,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,no,yes,yes,yes
no,yes,yes,no,yes,yes,no,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,no,no,yes,yes,yes,yes,yes
yes,yes,no,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,no,yes,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,yes,yes,yes,yes,no,yes
no,yes,yes,yes,no,no,yes,yes,yes,no
no,yes,yes,yes,no,no,yes,yes,yes,no
no,yes,yes,yes,no,no,yes,yes,yes,no
yes,yes,yes,yes,yes,yes,yes,no,no,no
yes,yes,yes,yes,no,no,yes,no,no,no
yes,yes,yes,yes,yes,no,yes,yes,no,no
yes,no,yes,no,yes,yes,yes,no,yes,yes
yes,no,yes,yes,yes,yes,yes,no,yes,yes
no,no,yes,yes,yes,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
no,yes,no,yes,yes,yes,yes,no,yes,yes
no,no,yes,yes,yes,yes,yes,no,yes,yes
no,yes,yes,no,yes,yes,yes,yes,yes,yes
no,yes,yes,no,no,yes,no,no,yes,yes
no,yes,yes,no,no,yes,no,no,yes,no
yes,yes,no,no,yes,no,no,yes,yes,yes
yes,yes,no,no,,no,no,yes,yes,yes
yes,yes,no,no,yes,no,no,yes,yes,no
yes,no,yes,yes,yes,yes,no,yes,yes,yes
yes,no,yes,no,yes,yes,no,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,no,yes,yes,yes,yes,yes,yes,no
yes,no,no,yes,yes,no,yes,yes,yes,no
no,no,no,yes,yes,no,no,no,no,yes
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
yes,no,no,yes,yes,yes,yes,no,yes,yes